Wed Dec 28 12:54:35 2022    profile-test-chunk-mgr

         3288700 function calls (3279561 primitive calls) in 2.426 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.028    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:609(add_entry)
      210    0.000    0.000    0.027    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2065(find_on_path)
       28    0.026    0.001    0.026    0.001 {built-in method pygame.display.update}
      254    0.000    0.000    0.025    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/re.py:288(_compile)
       62    0.000    0.000    0.024    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/re.py:249(compile)
       64    0.000    0.000    0.024    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_compile.py:783(compile)
        5    0.000    0.000    0.022    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/extern/__init__.py:51(create_module)
        5    0.000    0.000    0.022    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/extern/__init__.py:29(load_module)
        1    0.000    0.000    0.022    0.022 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/__init__.py:1(<module>)
       28    0.002    0.000    0.021    0.001 test-chunk-mgr.py:244(update)
        1    0.000    0.000    0.020    0.020 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/__init__.py:1(<module>)
     9996    0.006    0.000    0.019    0.000 test-chunk-mgr.py:59(render)
        1    0.000    0.000    0.019    0.019 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:1(<module>)
      151    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:950(get_code)
   107/64    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      218    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       64    0.000    0.000    0.016    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:944(parse)
        1    0.000    0.000    0.016    0.016 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/macosx.py:10(Video_AutoInit)
        1    0.000    0.000    0.016    0.016 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/platform.py:1179(platform)
   293/64    0.001    0.000    0.016    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:436(_parse_sub)
   431/70    0.006    0.000    0.016    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:494(_parse)
   139020    0.015    0.000    0.015    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunk_manager.py:53(get_layer)
      216    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.015    0.015 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:567(_build_master)
        1    0.000    0.000    0.015    0.015 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:553(__init__)
        2    0.000    0.000    0.015    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/subprocess.py:373(check_output)
      216    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        2    0.000    0.000    0.015    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/subprocess.py:461(run)
   173208    0.015    0.000    0.015    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:45(into_tuple)
     4251    0.002    0.000    0.014    0.000 test-chunk-mgr.py:75(__init__)
      140    0.002    0.000    0.013    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/tasks.py:684(gather)
      9/5    0.000    0.000    0.013    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/functools.py:961(__get__)
       80    0.001    0.000    0.013    0.000 {built-in method builtins.sorted}
       18    0.000    0.000    0.013    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2030(_by_version_descending)
    88173    0.012    0.000    0.012    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:30(dot)
   129024    0.012    0.000    0.012    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:101(reached)
      511    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      376    0.000    0.000    0.011    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2151(distributions_from_metadata)
     2269    0.001    0.000    0.011    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/tasks.py:618(_ensure_future)
        1    0.000    0.000    0.011    0.011 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/load_config.py:1(<module>)
    25934    0.007    0.000    0.010    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:17(__sub__)
      151    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     8540    0.010    0.000    0.010    0.000 {built-in method pygame.draw.polygon}
      151    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.009    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:1076(parse_string)
        1    0.000    0.000    0.009    0.009 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/specifiers.py:1(<module>)
        2    0.000    0.000    0.009    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/subprocess.py:758(__init__)
     1630    0.008    0.000    0.008    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.008    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/ssl.py:1(<module>)
     4678    0.002    0.000    0.008    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:743(call_soon)
     1542    0.004    0.000    0.008    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/version.py:261(__init__)
        2    0.000    0.000    0.008    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/subprocess.py:1687(_execute_child)
        1    0.000    0.000    0.008    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/platform.py:645(architecture)
     2269    0.003    0.000    0.008    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:431(create_task)
        1    0.000    0.000    0.008    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/platform.py:604(_syscmd_file)
        1    0.000    0.000    0.008    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/platform.py:788(__iter__)
        1    0.000    0.000    0.008    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/platform.py:784(processor)
        1    0.000    0.000    0.008    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/platform.py:735(get)
        1    0.000    0.000    0.008    0.008 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/platform.py:752(from_subprocess)
      188    0.000    0.000    0.008    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2054(_by_version)
       64    0.000    0.000    0.008    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_compile.py:622(_code)
