Wed Dec 28 12:54:35 2022    profile-test-chunk-mgr

         3288700 function calls (3279561 primitive calls) in 2.426 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7088    0.001    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:1917(get_debug)
      100    0.000    0.000    0.001    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/physics.py:31(triangle_contains_origin)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     2520    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/posixpath.py:41(_get_sep)
      134    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:947(__init__)
       12    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1440(get_metadata_lines)
      440    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/plistlib.py:856(load)
        1    0.000    0.000    0.001    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/specifiers.py:227(LegacySpecifier)
      302    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       95    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2886(insert_on)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      440    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
       27    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:2915(__init__)
      300    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/posixpath.py:150(dirname)
       11    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2362(normalize_path)
        1    0.000    0.000    0.001    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/logging/__init__.py:412(PercentStyle)
        1    0.000    0.000    0.001    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/locks.py:1(<module>)
     2982    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/version.py:81(__eq__)
     10/3    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/unicode.py:14(__get__)
     2032    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:250(match)
       36    0.000    0.000    0.001    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunks_module.py:24(<listcomp>)
    42/38    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:3903(_generateDefaultName)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       48    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:1526(__or__)
      108    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1622(_has)
        2    0.000    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
      110    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/genericpath.py:16(exists)
        2    0.000    0.000    0.001    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/plistlib.py:171(parse)
     4699    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     7915    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/helpers.py:692(<dictcomp>)
       26    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:1138(__getitem__)
       40    0.000    0.000    0.000    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/physics.py:343(relative_position)
    14/13    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/posixpath.py:400(_joinrealpath)
     1111    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:935(_is_dunder)
      405    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       77    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4349(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/urllib/parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/coroutines.py:1(<module>)
       22    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:1194(__getitem__)
       12    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1427(get_metadata)
       34    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:2981(_generateDefaultName)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        2    0.000    0.000    0.000    0.000 {method 'ParseFile' of 'pyexpat.xmlparser' objects}
       22    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:222(<setcomp>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/email/_parseaddr.py:1(<module>)
       48    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4084(__init__)
     2728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/subprocess.py:1227(_close_pipe_fds)
      190    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1328(safe_name)
      184    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:515(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/pkgdata.py:47(getResource)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2435(EntryPoint)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/events.py:780(new_event_loop)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/concurrent/futures/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/unicode.py:80(alphanums)
       20    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:1208(__getitem_inner__)
     2682    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/version.py:271(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:364(_macos_vers)
  146/134    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:3904(<genexpr>)
       43    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4147(_generateDefaultName)
      760    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2656(key)
        6    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/dataclasses.py:529(_init_fn)
      121    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/ntpath.py:87(isabs)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/results.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sysconfig.py:473(_init_posix)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/html/entities.py:1(<module>)
      190    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/re.py:202(sub)
      378    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/genericpath.py:121(_splitext)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
     1227    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:173(append)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/unicode.py:70(alphas)
     2269    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/coroutines.py:177(iscoroutine)
      140    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
     1690    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:161(__len__)
      340    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_compile.py:447(_simple)
       12    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1634(_get)
      218    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/_distutils_hack/__init__.py:89(find_spec)
        2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/re.py:197(search)
        2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/unicode.py:55(_chars_for_ranges)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/events.py:667(new_event_loop)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      119    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:2266(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/more_itertools/more.py:1(<module>)
       68    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:2315(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/unix_events.py:63(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/email/charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/selector_events.py:49(__init__)
     4682    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      284    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_compile.py:265(_compile_charset)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        4    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:2267(__new__)
      307    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4148(<genexpr>)
     4678    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1142(resource_exists)
        1    0.000    0.000    0.000    0.000 test-chunk-mgr.py:91(Ice)
     1066    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:287(tell)
      244    0.000    0.000    0.000    0.000 {built-in method builtins.all}
     2898    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/version.py:393(_parse_letter_version)
      591    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        4    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:2247(_make_nmtuple)
        6    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/inspect.py:3248(signature)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/sslproto.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/inspect.py:2994(from_callable)
      364    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:470(__setattr__)
      298    0.000    0.000    0.000    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:75(cross)
     12/6    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/inspect.py:2374(_signature_from_callable)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       19    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:1663(__call__)
      453    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       36    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:5368(__init__)
       95    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2912(<listcomp>)
       20    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:1188(copy_with)
        1    0.000    0.000    0.000    0.000 test-chunk-mgr.py:336(__init__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
     1459    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1746    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       80    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       15    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:561(_setResultsName)
      873    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      545    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/dataclasses.py:588(_repr_fn)
      352    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/cursors.py:132(set_cursor)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/jaraco/text/__init__.py:252(WordSet)
        4    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/toml/decoder.py:165(loads)
       56    0.000    0.000    0.000    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunk_manager.py:42(find_chunk)
      200    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:433(_uniq)
        6    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/dataclasses.py:624(_cmp_fn)
      134    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:206(_collect_type_vars)
     4537    0.000    0.000    0.000    0.000 {method 'cancelled' of '_asyncio.Task' objects}
        2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:3086(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/threading.py:1(<module>)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/importlib/abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/_manylinux.py:1(<module>)
       22    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:165(__prepare__)
      873    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      444    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      822    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:112(__init__)
     4537    0.000    0.000    0.000    0.000 {method 'exception' of '_asyncio.Task' objects}
       29    0.000    0.000    0.000    0.000 {built-in method pygame.key.get_pressed}
     1575    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      190    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/posixpath.py:140(basename)
      970    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/version.py:69(__lt__)
       38    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_compile.py:435(_mk_bitmap)
       23    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:351(get_provider)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/unicode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mouse._set_cursor}
     3850    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       80    0.000    0.000    0.000    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/shapes.py:60(center_of_mass)
        4    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:1437(__mul__)
     2269    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Task' objects}
     4524    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       28    0.000    0.000    0.000    0.000 test-chunk-mgr.py:302(input)
       96    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       57    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:267(_remove_dups_flatten)
     2611    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/unicode.py:63(<listcomp>)
      129    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:296(_class_escape)
      422    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:696(time)
      138    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:85(opengroup)
      140    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/tasks.py:663(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/email/errors.py:1(<module>)
       82    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:1234(<genexpr>)
       64    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:986(__and__)
     2316    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       28    0.000    0.000    0.000    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunk_manager.py:48(<listcomp>)
      324    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:137(_type_convert)
     1500    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       28    0.000    0.000    0.000    0.000 test-chunk-mgr.py:240(render)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/concurrent/futures/_base.py:1(<module>)
       19    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:5585(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/selectors.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/email/encoders.py:1(<module>)
      379    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/sndarray.py:1(<module>)
      360    0.000    0.000    0.000    0.000 <string>:2(__hash__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/surfarray.py:1(<module>)
      298    0.000    0.000    0.000    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:33(into_vec3d)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sysconfig.py:389(get_makefile_filename)
      604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      165    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:1915(__eq__)
      283    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sysconfig.py:567(get_path)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sysconfig.py:555(get_paths)
     12/2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:1503(makeOptionalList)
      309    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2831(__getattr__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sysconfig.py:214(_expand_vars)
  748/557    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     2160    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/helpers.py:14(delimited_list)
       38    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/posixpath.py:337(normpath)
        2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1602(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:3016(DistInfoDistribution)
       11    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:5590(__add__)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/calendar.py:1(<module>)
      285    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      511    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     2273    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_futures.py:1(<module>)
      298    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4100(<genexpr>)
       58    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:579(_get_mixins_)
       48    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:268(getuntil)
        4    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/logging/__init__.py:2130(info)
       14    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/posixpath.py:376(abspath)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/common.py:422(<listcomp>)
        1    0.000    0.000    0.000    0.000 test-chunk-mgr.py:112(Water)
       26    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4948(__init__)
      121    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/ntpath.py:150(splitdrive)
  225/146    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:1037(__hash__)
        3    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:3727(_setResultsName)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:5146(__init__)
        2    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sysconfig.py:140(_safe_realpath)
        1    0.000    0.000    0.000    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/selector_events.py:101(_make_self_pipe)
